7.0262 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
14.2375 	EXP 	show_condition_text: text = 'protected'
14.2375 	EXP 	show_condition_text: autoDraw = True
14.2380 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'noble')])
14.2533 	EXP 	show_condition_text: text = 'noble'
14.2533 	EXP 	show_condition_text: autoDraw = True
14.2539 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'representation')])
14.2734 	EXP 	show_condition_text: text = 'representation'
14.2734 	EXP 	show_condition_text: autoDraw = True
14.2740 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'xl')])
14.2879 	EXP 	show_condition_text: text = 'xl'
14.2879 	EXP 	show_condition_text: autoDraw = True
14.2885 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'look')])
14.3031 	EXP 	show_condition_text: text = 'look'
14.3031 	EXP 	show_condition_text: autoDraw = True
14.3205 	EXP 	show_condition_text: text = '****'
14.3205 	EXP 	show_condition_text: autoDraw = True
14.7230 	DATA 	Keypress: space
14.9207 	EXP 	show_condition_text: autoDraw = False
14.9212 	EXP 	New trial (rep=0, index=5): OrderedDict([('wlist_index', 13)])
14.9244 	EXP 	Imported csvs/13.csv as conditions, 7 conditions, 1 params
14.9247 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
14.9249 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'poems')])
14.9414 	EXP 	show_condition_text: text = 'poems'
14.9414 	EXP 	show_condition_text: autoDraw = True
14.9419 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'guild')])
14.9581 	EXP 	show_condition_text: text = 'guild'
14.9581 	EXP 	show_condition_text: autoDraw = True
14.9588 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'complications')])
14.9874 	EXP 	show_condition_text: text = 'complications'
14.9874 	EXP 	show_condition_text: autoDraw = True
14.9880 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'township')])
15.0065 	EXP 	show_condition_text: text = 'township'
15.0065 	EXP 	show_condition_text: autoDraw = True
15.0070 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'scanned')])
15.0237 	EXP 	show_condition_text: text = 'scanned'
