"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1102","our",3,4.85,3,13,2,1,"Pronoun"
"1103","ours",4,3.26,2,7,3,1,"Pronoun"
"1104","out",3,5.29,10,12,2,1,"Adverb"
"1105","outfit",6,3.11,1,3,5,2,"Noun"
"1106","outside",7,3.94,2,2,5,2,"Adverb"
"1107","over",4,4.83,3,8,3,2,"Adverb"
"1108","own",3,4.37,2,17,2,1,"Determiner"
"1109","owner",5,3.07,1,9,3,2,"Noun"
"1110","pa",2,3.09,2,13,2,1,"Name"
"1111","pack",4,3.35,16,35,3,1,"Verb"
"1112","package",7,3.07,0,2,5,2,"Noun"
"1113","page",4,3.28,11,16,3,1,"Noun"
"1114","paid",4,3.64,7,24,3,1,"Verb"
"1115","pain",4,3.7,11,37,3,1,"Noun"
"1116","paint",5,3.27,6,13,4,1,"Verb"
"1117","pair",4,3.28,6,32,3,1,"Noun"
"1118","pal",3,3.47,10,26,3,1,"Noun"
"1119","panic",5,3.05,2,1,5,2,"Noun"
"1120","pants",5,3.48,4,3,5,1,"Noun"
"1121","papa",4,3.34,1,5,4,2,"Noun"
"1122","paper",5,3.72,4,10,4,2,"Noun"
"1123","papers",6,3.42,4,5,5,2,"Noun"
"1124","pardon",6,3.52,1,3,5,2,"Noun"
"1125","park",4,3.57,11,11,4,1,"Noun"
"1126","part",4,4.13,14,14,4,1,"Noun"
"1127","parts",5,3.18,8,7,5,1,"Noun"
"1128","party",5,4.08,6,5,5,2,"Noun"
"1129","pass",4,3.74,14,21,3,1,"Verb"
"1130","passed",6,3.42,5,20,4,1,"Verb"
"1131","passing",7,3.12,5,8,5,2,"Verb"
"1132","passion",7,3,0,3,4,2,"Noun"
"1133","past",4,3.8,14,20,4,1,"Noun"
"1134","path",4,3.1,7,16,3,1,"Noun"
"1135","patient",7,3.51,0,1,5,2,"Noun"
"1136","pay",3,4.11,21,27,2,1,"Verb"
"1137","paying",6,3.34,9,6,4,2,"Verb"
"1138","peace",5,3.55,3,22,3,1,"Noun"
"1139","peg",3,3.27,13,12,3,1,"Name"
"1140","pen",3,3.1,19,25,3,1,"Noun"
"1141","penny",5,3.09,2,8,4,2,"Noun"
"1142","people",6,4.75,0,4,4,2,"Noun"
"1143","per",3,3.06,9,16,2,1,"Preposition"
"1144","person",6,4.04,1,3,4,2,"Noun"
"1145","pet",3,3.01,21,28,3,1,"Noun"
"1146","phone",5,4.14,3,27,3,1,"Noun"
"1147","photo",5,3.07,0,2,4,2,"Noun"
"1148","photos",6,3.01,1,0,5,2,"Noun"
"1149","pick",4,4.01,14,34,3,1,"Verb"
"1150","picked",6,3.55,9,15,4,1,"Verb"
"1151","picking",7,3.22,5,11,5,2,"Verb"
"1152","picture",7,3.85,0,0,5,2,"Noun"
"1153","pie",3,3.17,10,33,2,1,"Noun"
"1154","piece",5,3.8,1,22,3,1,"Noun"
"1155","pieces",6,3.25,2,7,5,2,"Noun"
"1156","pierce",6,3.12,2,6,4,1,"Name"
"1157","pig",3,3.3,12,20,3,1,"Noun"
"1158","pills",5,3.1,9,29,4,1,"Noun"
"1159","pilot",5,3.13,1,5,5,2,"Noun"
"1160","pink",4,3.16,14,11,4,1,"Adjective"
"1161","pipe",4,3,6,17,3,1,"Noun"
"1162","piper",5,3.19,5,10,4,2,"Name"
"1163","piss",4,3.08,10,24,3,1,"Verb"
"1164","pity",4,3.08,3,16,4,2,"Noun"
"1165","pizza",5,3.23,0,0,5,2,"Noun"
"1166","place",5,4.49,4,9,4,1,"Noun"
"1167","plain",5,3.05,2,10,4,1,"Adjective"
"1168","plan",4,3.87,4,6,4,1,"Noun"
"1169","plane",5,3.69,5,10,4,1,"Noun"
"1170","planned",7,3.21,2,7,5,1,"Verb"
"1171","plans",5,3.46,4,6,5,1,"Noun"
"1172","plant",5,3.15,4,5,5,1,"Noun"
"1173","plate",5,3.12,5,13,4,1,"Noun"
"1174","play",4,4.26,6,12,3,1,"Verb"
"1175","played",6,3.46,5,16,4,1,"Verb"
"1176","player",6,3.28,3,8,4,1,"Noun"
"1177","playing",7,3.88,3,4,5,2,"Verb"
"1178","plays",5,3.18,1,13,4,1,"Verb"
"1179","please",6,4.75,0,9,4,1,"Adverb"
"1180","pleased",7,3.16,2,0,5,1,"Adjective"
"1181","pleasure",8,3.61,0,0,5,2,"Noun"
"1182","plus",4,3.38,2,6,4,1,"Preposition"
"1183","pocket",6,3.26,6,7,5,2,"Noun"
"1184","point",5,4.08,3,5,4,1,"Noun"
"1185","points",6,3.22,3,3,5,1,"Noun"
"1186","poison",6,3.1,1,1,4,2,"Noun"
"1187","police",6,4.08,2,1,5,2,"Noun"
"1188","pool",4,3.38,9,24,3,1,"Noun"
"1189","poor",4,3.82,8,23,3,1,"Adjective"
"1191","post",4,3.22,12,16,4,1,"Noun"
"1192","pot",3,3.06,17,30,3,1,"Noun"
"1193","potter",6,3.02,7,11,4,2,"Name"
"1194","pounds",6,3.2,6,7,5,1,"Noun"
"1195","power",5,3.88,9,19,3,1,"Noun"
"1196","powerful",8,3.25,0,0,5,2,"Adjective"
"1197","powers",6,3.26,3,13,4,1,"Noun"
"1198","pray",4,3.27,7,11,3,1,"Verb"
"1199","prefer",6,3.23,0,0,5,2,"Verb"
"1200","press",5,3.49,2,5,4,1,"Noun"
"1201","pressure",8,3.43,0,0,5,2,"Noun"
"1202","pretty",6,4.3,0,3,5,2,"Adverb"
"1203","price",5,3.44,4,6,4,1,"Noun"
"1204","pride",5,3.15,5,14,4,1,"Noun"
"1205","priest",6,3.13,0,5,5,1,"Noun"
"1206","prince",6,3.36,1,3,5,1,"Noun"
"1207","print",5,3.01,2,2,5,1,"Noun"
"1208","prison",6,3.53,1,2,5,2,"Noun"
"1209","prize",5,3.06,3,12,4,1,"Noun"
"1210","proof",5,3.24,0,4,4,1,"Noun"
"1211","proper",6,3.11,1,5,5,2,"Adjective"
"1212","proud",5,3.63,0,8,4,1,"Adjective"
"1213","prove",5,3.56,6,4,4,1,"Verb"
"1214","pull",4,3.87,13,21,3,1,"Verb"
"1215","pulled",6,3.4,6,7,4,1,"Verb"
"1216","pulling",7,3.14,4,9,5,2,"Verb"
"1217","pulse",5,3.08,1,3,4,1,"Noun"
"1218","punch",5,3.18,5,7,4,1,"Noun"
