"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"232","hide",4,3.55,10,32,3,1,"Verb"
"233","not",3,5.44,15,29,3,1,"Not"
"234","states",6,3.44,6,3,5,1,"Name"
"235","appears",7,3.03,1,1,5,2,"Verb"
"236","legal",5,3.26,1,1,5,2,"Adjective"
"237","chuck",5,3.04,6,17,3,1,"Verb"
"238","took",4,4.24,8,17,3,1,"Verb"
"239","slept",5,3.26,2,6,5,1,"Verb"
"240","from",4,5.02,2,4,4,1,"Preposition"
"241","of",2,5.77,8,5,2,1,"Preposition"
"242","holy",4,3.54,2,11,4,2,"Adjective"
"243","across",6,3.68,0,0,5,2,"Preposition"
"244","golden",6,3.07,0,0,5,2,"Adjective"
"245","get",3,5.37,14,18,3,1,"Verb"
"246","deserve",7,3.35,1,2,5,2,"Verb"
"247","suppose",7,3.81,0,0,5,2,"Verb"
"248","into",4,4.63,3,3,4,2,"Preposition"
"249","proper",6,3.11,1,5,5,2,"Adjective"
"250","playing",7,3.88,3,4,5,2,"Verb"
"251","steal",5,3.43,4,10,4,1,"Verb"
"252","bright",6,3.36,3,11,4,1,"Adjective"
"253","told",4,4.55,10,16,4,1,"Verb"
"254","never",5,4.84,4,3,4,2,"Adverb"
"255","bloody",6,3.29,2,0,5,2,"Adjective"
"256","dean",4,3.3,9,26,3,1,"Name"
"257","asleep",6,3.41,0,0,5,2,"Adjective"
"258","changed",7,3.71,5,1,5,1,"Verb"
"259","tired",5,3.76,8,10,4,1,"Adjective"
"260","armed",5,3.07,1,4,4,1,"Adjective"
"261","hired",5,3.23,7,9,4,1,"Verb"
"262","male",4,3.24,23,46,3,1,"Adjective"
"263","draw",4,3.31,5,2,3,1,"Verb"
"264","why",3,5.06,5,3,3,1,"Adverb"
"265","front",5,3.97,2,2,5,1,"Preposition"
"266","sue",3,3.18,10,38,2,1,"Verb"
"267","fought",6,3.13,3,22,3,1,"Verb"
"268","ray",3,3.7,19,24,2,1,"Name"
"269","woke",4,3.13,7,16,3,1,"Verb"
"270","scream",6,3.13,1,4,5,1,"Verb"
"271","far",3,4.05,16,17,3,1,"Adverb"
"272","just",4,5.38,8,10,4,1,"Adverb"
"273","outside",7,3.94,2,2,5,2,"Adverb"
"274","back",4,5.01,17,34,3,1,"Adverb"
"275","care",4,4.39,24,27,3,1,"Verb"
"276","spend",5,3.68,3,8,5,1,"Verb"
"277","receive",7,3,1,0,5,2,"Verb"
"278","we",2,5.66,4,23,2,1,"Pronoun"
"279","wore",4,3.03,20,31,3,1,"Verb"
"280","seems",5,3.93,6,12,4,1,"Verb"
"281","loving",6,3.11,4,3,5,2,"Verb"
"282","smith",5,3.27,1,1,4,1,"Name"
"283","travel",6,3.23,1,1,5,2,"Verb"
"284","asked",5,4.04,1,2,4,1,"Verb"
"285","led",3,3.09,11,25,3,1,"Verb"
"286","whom",4,3.25,3,24,3,1,"Pronoun"
"287","royal",5,3.07,1,3,4,1,"Adjective"
"288","threw",5,3.32,3,8,3,1,"Verb"
"289","ahead",5,4,0,1,4,2,"Adverb"
"290","liked",5,3.6,4,9,4,1,"Verb"
"291","worst",5,3.46,1,12,4,1,"Adjective"
"292","how",3,5.19,16,20,2,1,"Adverb"
"293","talk",4,4.64,8,20,3,1,"Verb"
"294","crane",5,3.23,5,13,4,1,"Name"
"295","smoke",5,3.52,4,6,4,1,"Verb"
"296","robin",5,3.1,1,3,5,2,"Name"
"297","dumb",4,3.38,2,31,3,1,"Adjective"
"298","scared",6,3.83,7,8,5,1,"Adjective"
"299","drag",4,3.13,7,6,4,1,"Verb"
"300","lying",5,3.65,3,7,4,2,"Verb"
"301","fly",3,3.64,4,13,3,1,"Verb"
"302","answer",6,3.95,0,0,4,2,"Verb"
"303","quite",5,4.01,3,4,4,1,"Adverb"
"304","born",4,3.63,11,17,4,1,"Verb"
"305","still",5,4.6,6,15,4,1,"Adverb"
"306","hold",4,4.35,11,22,4,1,"Verb"
"307","reading",7,3.5,5,21,5,2,"Verb"
"308","none",4,3.75,13,23,3,1,"Pronoun"
"309","caught",6,3.68,2,23,3,1,"Verb"
"310","better",6,4.61,7,16,4,2,"Adverb"
