"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"257","school",6,4.23,0,9,4,1,"Noun"
"258","noise",5,3.25,4,10,3,1,"Noun"
"259","plane",5,3.69,5,10,4,1,"Noun"
"260","trunk",5,3,2,1,5,1,"Noun"
"261","shower",6,3.32,2,14,3,1,"Noun"
"262","king",4,3.82,8,16,3,1,"Noun"
"263","law",3,3.77,12,15,2,1,"Noun"
"264","table",5,3.73,4,6,4,2,"Noun"
"265","sister",6,3.96,3,3,5,2,"Noun"
"266","machine",7,3.55,0,0,5,2,"Noun"
"267","race",4,3.5,14,26,3,1,"Noun"
"268","lord",4,3.85,7,23,4,1,"Noun"
"269","angel",5,3.6,1,0,5,2,"Noun"
"270","weeks",5,3.82,2,10,4,1,"Noun"
"271","cow",3,3.11,18,15,2,1,"Noun"
"272","clock",5,3.48,8,13,4,1,"Noun"
"273","game",4,4.08,13,19,3,1,"Noun"
"274","class",5,3.78,8,11,4,1,"Noun"
"275","sport",5,3.01,5,2,5,1,"Noun"
"276","creature",8,3.04,0,3,5,2,"Noun"
"277","flight",6,3.48,5,15,4,1,"Noun"
"278","fault",5,3.73,2,9,4,1,"Noun"
"279","dozen",5,3.09,1,1,4,2,"Noun"
"280","pulse",5,3.08,1,3,4,1,"Noun"
"281","shopping",8,3.19,5,9,5,2,"Noun"
"282","gang",4,3.19,8,15,3,1,"Noun"
"283","wolf",4,3.01,2,1,4,1,"Noun"
"284","trash",5,3.06,3,7,4,1,"Noun"
"285","bones",5,3.19,10,18,4,1,"Noun"
"286","mister",6,3.37,5,5,5,2,"Noun"
"287","snow",4,3.2,6,3,3,1,"Noun"
"288","pizza",5,3.23,0,0,5,2,"Noun"
"289","row",3,3.13,17,30,2,1,"Noun"
"290","soup",4,3.11,4,17,3,1,"Noun"
"291","view",4,3.29,2,10,3,1,"Noun"
"292","score",5,3.19,9,8,4,1,"Noun"
"293","knees",5,3.12,1,27,3,1,"Noun"
"294","dust",4,3.09,10,11,4,1,"Noun"
"295","papers",6,3.42,4,5,5,2,"Noun"
"296","panic",5,3.05,2,1,5,2,"Noun"
"297","dogs",4,3.43,8,6,4,1,"Noun"
"298","zone",4,3.01,8,14,3,1,"Noun"
"299","shame",5,3.33,7,17,3,1,"Noun"
"300","word",4,4.08,10,23,3,1,"Noun"
"301","haven",5,4.28,1,5,4,2,"Noun"
"302","copy",4,3.43,4,10,4,2,"Noun"
"303","child",5,3.91,3,6,4,1,"Noun"
"304","times",5,4.05,10,19,4,1,"Noun"
"305","bottom",6,3.41,0,1,5,2,"Noun"
"306","horn",4,3.03,6,18,4,1,"Noun"
"307","part",4,4.13,14,14,4,1,"Noun"
"308","side",4,4.01,10,32,3,1,"Noun"
"309","beast",5,3.1,6,15,4,1,"Noun"
"310","poison",6,3.1,1,1,4,2,"Noun"
"311","season",6,3.21,1,5,4,2,"Noun"
"312","cancer",6,3.06,5,5,5,2,"Noun"
"313","bar",3,3.64,15,26,3,1,"Noun"
"314","roof",4,3.26,7,16,3,1,"Noun"
"315","media",5,3.06,1,1,5,2,"Noun"
"316","fate",4,3.14,17,31,3,1,"Noun"
"317","service",7,3.61,1,3,5,2,"Noun"
"318","years",5,4.46,10,16,4,1,"Noun"
"319","sugar",5,3.28,0,0,4,2,"Noun"
"320","water",5,4.06,6,7,4,2,"Noun"
"321","arrest",6,3.48,0,4,5,2,"Noun"
"322","size",4,3.37,4,31,3,1,"Noun"
"323","card",4,3.64,12,24,4,1,"Noun"
"324","coat",4,3.33,8,26,3,1,"Noun"
"325","cents",5,3.05,3,5,5,1,"Noun"
"326","fellow",6,3.48,5,12,4,2,"Noun"
"327","record",6,3.64,1,0,5,2,"Noun"
"328","damage",6,3.23,0,0,5,2,"Noun"
"329","level",5,3.42,4,7,4,2,"Noun"
"330","cash",4,3.57,12,20,3,1,"Noun"
"331","story",5,4.05,4,5,5,2,"Noun"
"332","food",4,3.9,9,18,3,1,"Noun"
"333","guests",6,3.12,0,9,5,1,"Noun"
"334","clothes",7,3.71,1,14,4,1,"Noun"
"335","gate",4,3.21,16,26,3,1,"Noun"
"336","thoughts",8,3.23,0,0,4,1,"Noun"
"337","speed",5,3.32,2,7,4,1,"Noun"
"338","stuff",5,4.19,4,10,4,1,"Noun"
"339","heart",5,4.1,2,15,4,1,"Noun"
"340","birthday",8,3.7,0,0,5,2,"Noun"
"341","style",5,3.19,2,9,4,1,"Noun"
"342","store",5,3.62,13,10,4,1,"Noun"
"343","bucks",5,3.46,5,12,4,1,"Noun"
"344","horse",5,3.68,6,13,4,1,"Noun"
"345","juice",5,3.14,1,13,3,1,"Noun"
"346","battle",6,3.33,4,13,4,2,"Noun"
"347","crack",5,3.22,6,16,4,1,"Noun"
"348","rights",6,3.18,4,19,4,1,"Noun"
"349","cousin",6,3.4,0,2,4,2,"Noun"
"350","event",5,3.13,0,0,5,2,"Noun"
"351","wave",4,3.04,14,25,3,1,"Noun"
"352","trade",5,3.25,2,12,4,1,"Noun"
"353","license",7,3.21,0,0,5,2,"Noun"
"354","cell",4,3.44,11,25,3,1,"Noun"
"355","case",4,4.16,14,21,3,1,"Noun"
"356","order",5,3.9,1,1,4,2,"Noun"
"357","lesson",6,3.22,2,6,4,2,"Noun"
"358","county",6,3.24,2,4,5,2,"Noun"
"359","pills",5,3.1,9,29,4,1,"Noun"
"360","theory",6,3.16,0,0,5,2,"Noun"
"361","salt",4,3,5,9,4,1,"Noun"
"362","screen",6,3.08,0,3,5,1,"Noun"
"363","pardon",6,3.52,1,3,5,2,"Noun"
"364","window",6,3.64,0,0,5,2,"Noun"
"365","health",6,3.31,2,5,4,1,"Noun"
